iter	Passed	Remaining
715	8712	3455
716	8724	3443
717	8739	3432
718	8752	3420
719	8765	3408
720	8776	3396
721	8789	3384
722	8801	3372
723	8813	3359
724	8823	3346
725	8834	3334
726	8845	3321
727	8856	3309
728	8868	3296
729	8879	3284
730	8890	3271
731	8901	3258
732	8912	3246
733	8923	3233
734	8933	3221
735	8945	3208
736	8957	3196
737	8968	3183
738	8979	3171
739	8990	3158
740	9001	3146
741	9012	3133
742	9024	3121
743	9034	3108
744	9046	3096
745	9059	3084
746	9072	3072
747	9085	3060
748	9097	3048
749	9109	3036
750	9122	3024
751	9135	3012
752	9148	3000
753	9160	2988
754	9177	2978
755	9191	2966
756	9203	2954
757	9215	2942
758	9229	2930
759	9240	2918
760	9253	2906
761	9266	2894
762	9278	2881
763	9294	2871
764	9318	2862
765	9337	2852
766	9352	2841
767	9365	2829
768	9379	2817
769	9391	2805
770	9403	2793
771	9417	2781
772	9433	2770
773	9446	2758
774	9462	2747
775	9479	2736
776	9496	2725
777	9509	2713
778	9522	2701
779	9537	2689
780	9549	2677
781	9562	2665
782	9576	2654
783	9589	2641
784	9603	2630
785	9615	2618
786	9630	2606
787	9644	2594
788	9656	2582
789	9669	2570
790	9682	2558
791	9695	2546
792	9706	2533
793	9719	2521
794	9731	2509
795	9743	2497
796	9757	2485
797	9770	2473
798	9781	2460
799	9793	2448
800	9805	2436
801	9816	2423
802	9826	2410
803	9837	2398
804	9849	2385
805	9861	2373
806	9872	2361
807	9884	2348
808	9896	2336
809	9909	2324
810	9920	2311
811	9931	2299
812	9942	2286
813	9955	2274
814	9966	2262
815	9977	2249
816	9989	2237
817	10002	2225
818	10013	2212
819	10024	2200
820	10035	2188
821	10046	2175
822	10059	2163
823	10073	2151
824	10086	2139
825	10097	2127
826	10108	2114
827	10120	2102
828	10133	2090
829	10146	2078
830	10158	2065
831	10169	2053
832	10180	2040
833	10191	2028
834	10202	2016
835	10213	2003
836	10226	1991
837	10238	1979
838	10251	1967
839	10262	1954
840	10274	1942
841	10286	1930
842	10298	1917
843	10310	1905
844	10322	1893
845	10333	1881
846	10344	1868
847	10355	1856
848	10368	1844
849	10381	1831
850	10394	1819
851	10409	1808
852	10421	1796
853	10434	1783
854	10445	1771
855	10456	1758
856	10468	1746
857	10480	1734
858	10494	1722
859	10507	1710
860	10520	1698
861	10532	1686
862	10544	1673
863	10557	1661
864	10571	1649
865	10584	1637
866	10597	1625
867	10610	1613
868	10621	1601
869	10634	1589
870	10647	1576
871	10659	1564
872	10672	1552
873	10684	1540
874	10697	1528
875	10710	1516
876	10722	1503
877	10734	1491
878	10747	1479
879	10760	1467
880	10772	1455
881	10785	1442
882	10797	1430
883	10809	1418
884	10823	1406
885	10836	1394
886	10848	1382
887	10861	1369
888	10874	1357
889	10886	1345
890	10900	1333
891	10913	1321
892	10927	1309
893	10940	1297
894	10954	1285
895	10966	1272
896	10980	1260
897	10993	1248
898	11006	1236
899	11020	1224
900	11033	1212
901	11045	1200
902	11058	1187
903	11070	1175
904	11084	1163
905	11097	1151
906	11110	1139
907	11123	1127
908	11136	1114
909	11148	1102
910	11161	1090
911	11174	1078
912	11186	1066
913	11199	1053
914	11213	1041
915	11226	1029
916	11240	1017
917	11255	1005
918	11279	994
919	11302	982
920	11317	970
921	11334	958
922	11347	946
923	11361	934
924	11375	922
925	11388	910
926	11401	897
927	11413	885
928	11426	873
929	11438	860
930	11449	848
931	11461	836
932	11473	823
933	11485	811
934	11496	799
935	11508	786
936	11518	774
937	11530	762
938	11542	749
939	11553	737
940	11565	725
941	11577	712
942	11590	700
943	11602	688
944	11613	675
945	11624	663
946	11635	651
947	11646	638
948	11657	626
949	11670	614
950	11682	601
951	11693	589
952	11704	577
953	11716	564
954	11727	552
955	11739	540
956	11751	528
957	11761	515
958	11773	503
959	11786	491
960	11797	478
961	11807	466
962	11819	454
963	11829	441
964	11840	429
965	11852	417
966	11864	404
967	11876	392
968	11889	380
969	11903	368
970	11916	355
971	11929	343
972	11941	331
973	11952	319
974	11963	306
975	11976	294
976	11988	282
977	11999	269
978	12011	257
979	12022	245
980	12034	233
981	12045	220
982	12056	208
983	12066	196
984	12080	183
985	12090	171
986	12101	159
987	12113	147
988	12123	134
989	12134	122
990	12145	110
991	12157	98
992	12173	85
993	12187	73
994	12203	61
995	12221	49
996	12232	36
997	12246	24
998	12258	12
999	12270	0
